word,pos,definition
IONIC,a.,Of or pertaining to an ion; composed of ions.
IONIC,n.,"A foot consisting of four syllables: either two long and two short, -- that is, a spondee and a pyrrhic, in which case it is called the greater Ionic; or two short and two long, -- that is, a pyrrhic and a spondee, in which case it is called the smaller Ionic."
IONIC,n.,A verse or meter composed or consisting of Ionic feet.
IONIC,n.,"The Ionic dialect; as, the Homeric Ionic."
IONIC,n.,Ionic type.
IOWAS,n. pl.,A tribe of Indians which formerly occupied the region now included in the State of Iowa.
IRADE,n.,A decree of the Sultan.
IRATE,a.,Angry; incensed; enraged.
IRIAN,a.,Of or pertaining to the iris.
IRISH,a.,Of or pertaining to Ireland or to its inhabitants; produced in Ireland.
IRISH,n. sing. & pl.,"The natives or inhabitants of Ireland, esp. the Celtic natives or their descendants."
IRISH,n. sing. & pl.,The language of the Irish; the Hiberno-Celtic.
IRISH,n. sing. & pl.,An old game resembling backgammon.
IRONY,a.,"Made or consisting of iron; partaking of iron; iron; as, irony chains; irony particles."
IRONY,a.,"Resembling iron taste, hardness, or other physical property."
IRONY,n.,Dissimulation; ignorance feigned for the purpose of confounding or provoking an antagonist.
IRONY,n.,"A sort of humor, ridicule, or light sarcasm, which adopts a mode of speech the meaning of which is contrary to the literal sense of the words."
IROUS,a.,Irascible; passionate.
ISIAC,a.,"Pertaining to the goddess Isis; as, Isiac mysteries."
ISLAM,n.,"The religion of the Mohammedans; Mohammedanism; Islamism. Their formula of faith is: There is no God but Allah, and Mohammed is his prophet."
ISLAM,n.,"The whole body of Mohammedans, or the countries which they occupy."
ISLET,n.,A little island.
ISSUE,n.,"The act of passing or flowing out; a moving out from any inclosed place; egress; as, the issue of water from a pipe, of blood from a wound, of air from a bellows, of people from a house."
ISSUE,n.,"The act of sending out, or causing to go forth; delivery; issuance; as, the issue of an order from a commanding officer; the issue of money from a treasury."
ISSUE,n.,"That which passes, flows, or is sent out; the whole quantity sent forth or emitted at one time; as, an issue of bank notes; the daily issue of a newspaper."
ISSUE,n.,"Progeny; a child or children; offspring. In law, sometimes, in a general sense, all persons descended from a common ancestor; all lineal descendants."
ISSUE,n.,"Produce of the earth, or profits of land, tenements, or other property; as, A conveyed to B all his right for a term of years, with all the issues, rents, and profits."
ISSUE,n.,"A discharge of flux, as of blood."
ISSUE,n.,"An artificial ulcer, usually made in the fleshy part of the arm or leg, to produce the secretion and discharge of pus for the relief of some affected part."
ISSUE,n.,"The final outcome or result; upshot; conclusion; event; hence, contest; test; trial."
ISSUE,n.,A point in debate or controversy on which the parties take affirmative and negative positions; a presentation of alternatives between which to choose or decide.
ISSUE,n.,"In pleading, a single material point of law or fact depending in the suit, which, being affirmed on the one side and denied on the other, is presented for determination. See General issue, under General, and Feigned issue, under Feigned."
ISSUE,v. i.,"To pass or flow out; to run out, as from any inclosed place."
ISSUE,v. i.,"To go out; to rush out; to sally forth; as, troops issued from the town, and attacked the besiegers."
ISSUE,v. i.,"To proceed, as from a source; as, water issues from springs; light issues from the sun."
ISSUE,v. i.,"To proceed, as progeny; to be derived; to be descended; to spring."
ISSUE,v. i.,"To extend; to pass or open; as, the path issues into the highway."
ISSUE,v. i.,"To be produced as an effect or result; to grow or accrue; to arise; to proceed; as, rents and profits issuing from land, tenements, or a capital stock."
ISSUE,v. i.,"To close; to end; to terminate; to turn out; as, we know not how the cause will issue."
ISSUE,v. i.,"In pleading, to come to a point in fact or law, on which the parties join issue."
ISSUE,v. t.,"To send out; to put into circulation; as, to issue notes from a bank."
ISSUE,v. t.,"To deliver for use; as, to issue provisions."
ISSUE,v. t.,"To send out officially; to deliver by authority; as, to issue an order; to issue a writ."
ISTLE,n.,Same as Ixtle.
ITALA,n.,"An early Latin version of the Scriptures (the Old Testament was translated from the Septuagint, and was also called the Italic version)."
ITCHY,a.,"Infected with the itch, or with an itching sensation."
IULUS,n.,"A genus of chilognathous myriapods. The body is long and round, consisting of numerous smooth, equal segments, each of which bears two pairs of short legs. It includes the galleyworms. See Chilognatha."
IVIED,a.,Overgrown with ivy.
IVORY,n.,"The hard, white, opaque, fine-grained substance constituting the tusks of the elephant. It is a variety of dentine, characterized by the minuteness and close arrangement of the tubes, as also by their double flexure. It is used in manufacturing articles of ornament or utility."
IVORY,n.,"The tusks themselves of the elephant, etc."
IVORY,n.,Any carving executed in ivory.
IVORY,n.,"Teeth; as, to show one's ivories."
IVIES,pl. ,of Ivy
IXTLE,n.,Alt. of Ixtli
IXTLI,n.,"A Mexican name for a variety of Agave rigida, which furnishes a strong coarse fiber; also, the fiber itself, which is called also pita, and Tampico fiber."
IZARD,n.,A variety of the chamois found in the Pyrenees.
IZEDI,n.,One of an Oriental religious sect which worships Satan or the Devil.
JABOT,n.,"Originally, a kind of ruffle worn by men on the bosom of the shirt."
JABOT,n.,"An arrangement of lace or tulle, looped ornamentally, and worn by women on the front of the dress."
JACOB,n.,"A Hebrew patriarch (son of Isaac, and ancestor of the Jews), who in a vision saw a ladder reaching up to heaven (Gen. xxviii. 12); -- also called Israel."
JADED,imp. & p. p.,of Jade
JAGER,n.,A sharpshooter. See Yager.
JAGER,n.,"Any species of gull of the genus Stercorarius. Three species occur on the Atlantic coast. The jagers pursue other species of gulls and force them to disgorge their prey. The two middle tail feathers are usually decidedly longer than the rest. Called also boatswain, and marline-spike bird. The name is also applied to the skua, or Arctic gull (Megalestris skua)."
JAGGY,a.,"Having jags; set with teeth; notched; uneven; as, jaggy teeth."
JAINA,n.,"One of a numerous sect in British India, holding the tenets of Jainism."
JAKES,n.,A privy.
JAKIE,n.,"A South American striped frog (Pseudis paradoxa), remarkable for having a tadpole larger than the adult, and hence called also paradoxical frog."
JALAP,n.,"The tubers of the Mexican plant Ipomoea purga (or Exogonium purga), a climber much like the morning-glory. The abstract, extract, and powder, prepared from the tubers, are well known purgative medicines. Other species of Ipomoea yield several inferior kinds of jalap, as the I. Orizabensis, and I. tuberosa."
JANTU,n.,"A machine of great antiquity, used in Bengal for raising water to irrigate land."
JANTY,a.,See Jaunty.
JANUS,n.,"A Latin deity represented with two faces looking in opposite directions. Numa is said to have dedicated to Janus the covered passage at Rome, near the Forum, which is usually called the Temple of Janus. This passage was open in war and closed in peace."
JAPAN,n.,"Work varnished and figured in the Japanese manner; also, the varnish or lacquer used in japanning."
JAPAN,a.,"Of or pertaining to Japan, or to the lacquered work of that country; as, Japan ware."
JAPAN,v. t.,"To cover with a coat of hard, brilliant varnish, in the manner of the Japanese; to lacquer."
JAPAN,v. t.,"To give a glossy black to, as shoes."
JAPER,n.,A jester; a buffoon.
JARDS,n.,"A callous tumor on the leg of a horse, below the hock."
JARVY,n.,The driver of a hackney coach.
JARVY,n.,A hackney coach.
JASEY,n.,"A wig; -- so called, perhaps, from being made of, or resembling, Jersey yarn."
JAUNT,v. i.,To ramble here and there; to stroll; to make an excursion.
JAUNT,v. i.,To ride on a jaunting car.
JAUNT,v. t.,To jolt; to jounce.
JAUNT,n.,A wearisome journey.
JAUNT,n.,A short excursion for pleasure or refreshment; a ramble; a short journey.
JAVEL,n.,A vagabond.
JAWED,imp. & p. p.,of Jaw
JAWED,a.,"Having jaws; -- chiefly in composition; as, lantern-jawed."
JAYET,n.,See Jet.
JAZEL,n.,A gem of an azure color.
JEARS,n. pl.,See 1st Jeer (b).
JEERS,n. pl.,See 1st Jeer (b).
JELLY,n.,"Anything brought to a gelatinous condition; a viscous, translucent substance in a condition between liquid and solid; a stiffened solution of gelatin, gum, or the like."
JELLY,n.,"The juice of fruits or meats boiled with sugar to an elastic consistence; as, currant jelly; calf's-foot jelly."
JELLY,v. i.,To become jelly; to come to the state or consistency of jelly.
JEMMY,a.,Spruce.
JEMMY,n.,A short crowbar. See Jimmy.
JEMMY,n.,A baked sheep's head.
JENNY,n.,A familiar or pet form of the proper name Jane.
JENNY,n.,A familiar name of the European wren.
JENNY,n.,"A machine for spinning a number of threads at once, -- used in factories."
JERID,n.,Same as Jereed.
JERKY,a.,"Moving by jerks and starts; characterized by abrupt transitions; as, a jerky vehicle; a jerky style."
JESSE,n.,"Any representation or suggestion of the genealogy of Christ, in decorative art"
JESSE,n.,A genealogical tree represented in stained glass.
JESSE,n.,"A candlestick with many branches, each of which bears the name of some one of the descendants of Jesse; -- called also  tree of Jesse."
JESUS,n.,"The Savior; the name of the Son of God as announced by the angel to his parents; the personal name of Our Lord, in distinction from Christ, his official appellation."
JETTY,a.,"Made of jet, or like jet in color."
JETTY,n.,"A part of a building that jets or projects beyond the rest, and overhangs the wall below."
JETTY,n.,A wharf or pier extending from the shore.
JETTY,n.,"A structure of wood or stone extended into the sea to influence the current or tide, or to protect a harbor; a mole; as, the Eads system of jetties at the mouth of the Mississippi River."
JETTY,v. i.,To jut out; to project.
JEWEL,n.,"An ornament of dress usually made of a precious metal, and having enamel or precious stones as a part of its design."
JEWEL,n.,A precious stone; a gem.
JEWEL,n.,An object regarded with special affection; a precious thing.
JEWEL,n.,"A bearing for a pivot a pivot in a watch, formed of a crystal or precious stone, as a ruby."
JEWEL,v. t.,"To dress, adorn, deck, or supply with jewels, as a dress, a sword hilt, or a watch; to bespangle, as with jewels."
JEWRY,n.,"Judea; also, a district inhabited by Jews; a Jews' quarter."
JIBED,imp. & p. p.,of Jibe
JIFFY,n.,"A moment; an instant; as, I will be ready in a jiffy."
JIMMY,n.,A short crowbar used by burglars in breaking open doors.
JINGO,n.,A word used as a jocular oath.
JINGO,n.,"A statesman who pursues, or who favors, aggressive, domineering policy in foreign affairs."
JIPPO,n.,A waistcoat or kind of stays for women.
JOINT,n.,"The place or part where two things or parts are joined or united; the union of two or more smooth or even surfaces admitting of a close-fitting or junction; junction as, a joint between two pieces of timber; a joint in a pipe."
JOINT,n.,"A joining of two things or parts so as to admit of motion; an articulation, whether movable or not; a hinge; as, the knee joint; a node or joint of a stem; a ball and socket joint.  See Articulation."
JOINT,n.,"The part or space included between two joints, knots, nodes, or articulations; as, a joint of cane or of a grass stem; a joint of the leg."
JOINT,n.,"Any one of the large pieces of meat, as cut into portions by the butcher for roasting."
JOINT,n.,"A plane of fracture, or divisional plane, of a rock transverse to the stratification."
JOINT,n.,"The space between the adjacent surfaces of two bodies joined and held together, as by means of cement, mortar, etc.; as, a thin joint."
JOINT,n.,The means whereby the meeting surfaces of pieces in a structure are secured together.
JOINT,a.,Joined; united; combined; concerted; as joint action.
JOINT,a.,Involving the united activity of two or more; done or produced by two or more working together.
JOINT,a.,"United, joined, or sharing with another or with others; not solitary in interest or action; holding in common with an associate, or with associates; acting together; as, joint heir; joint creditor; joint debtor, etc."
JOINT,a.,"Shared by, or affecting two or more; held in common; as, joint property; a joint bond."
JOINT,v. t.,"To unite by a joint or joints; to fit together; to prepare so as to fit together; as, to joint boards."
JOINT,v. t.,To join; to connect; to unite; to combine.
JOINT,v. t.,To provide with a joint or joints; to articulate.
JOINT,v. t.,"To separate the joints; of; to divide at the joint or joints; to disjoint; to cut up into joints, as meat."
JOINT,v. i.,"To fit as if by joints; to coalesce as joints do; as, the stones joint, neatly."
JOIST,n.,"A piece of timber laid horizontally, or nearly so, to which the planks of the floor, or the laths or furring strips of a ceiling, are nailed; -- called, according to its position or use, binding joist, bridging joist, ceiling joist, trimming joist, etc. See Illust. of Double-framed floor, under Double, a."
JOIST,v. t.,To fit or furnish with joists.
JOKED,imp. & p. p.,of Joke
JOKER,n.,One who makes jokes or jests.
JOKER,n.,"See Rest bower, under 2d Bower."
JOLIF,a.,Joyful; merry; pleasant; jolly.
JOLLY,superl.,Full of life and mirth; jovial; joyous; merry; mirthful.
JOLLY,superl.,"Expressing mirth, or inspiring it; exciting mirth and gayety."
JOLLY,superl.,Of fine appearance; handsome; excellent; lively; agreeable; pleasant.
JOLTY,a.,"That jolts; as, a jolty coach."
JONAH,n.,"The Hebrew prophet, who was cast overboard as one who endangered the ship; hence, any person whose presence is unpropitious."
JORAM,n.,See Jorum.
JORUM,n.,"A large drinking vessel; also, its contents."
JOSSA,interj.,"A command to a horse, probably meaning ""stand still."""
JOUGS,n.,"An iron collar fastened to a wall or post, formerly used in Scotland as a kind of pillory. [Written also juggs.] See Juke."
JOULE,n.,"A unit of work which is equal to 107 units of work in the C. G. S. system of units (ergs), and is practically equivalent to the energy expended in one second by an electric current of one ampere in a resistance of one ohm. One joule is approximately equal to 0.738 foot pounds."
JOUST,v. i.,"To engage in mock combat on horseback, as two knights in the lists; to tilt."
JOUST,v. i.,A tilting match; a mock combat on horseback between two knights in the lists or inclosed field.
JOYED,imp. & p. p.,of Joy
JUBAE,pl. ,of Juba
JUDAS,n.,The disciple who betrayed Christ. Hence: A treacherous person; one who betrays under the semblance of friendship.
JUDAS,a.,Treacherous; betraying.
JUDGE,v. i.,"A public officer who is invested with authority to hear and determine litigated causes, and to administer justice between parties in courts held for that purpose."
JUDGE,v. i.,"One who has skill, knowledge, or experience, sufficient to decide on the merits of a question, or on the quality or value of anything; one who discerns properties or relations with skill and readiness; a connoisseur; an expert; a critic."
JUDGE,v. i.,"A person appointed to decide in a/trial of skill, speed, etc., between two or more parties; an umpire; as, a judge in a horse race."
JUDGE,v. i.,"One of supreme magistrates, with both civil and military powers, who governed Israel for more than four hundred years."
JUDGE,v. i.,The title of the seventh book of the Old Testament; the Book of Judges.
JUDGE,a.,"To hear and determine, as in causes on trial; to decide as a judge; to give judgment; to pass sentence."
JUDGE,a.,"To assume the right to pass judgment on another; to sit in judgment or commendation; to criticise or pass adverse judgment upon others. See Judge, v. t., 3."
JUDGE,v. t.,"To compare facts or ideas, and perceive their relations and attributes, and thus distinguish truth from falsehood; to determine; to discern; to distinguish; to form an opinion about."
JUDGE,v. t.,"To hear and determine by authority, as a case before a court, or a controversy between two parties."
JUDGE,v. t.,To examine and pass sentence on; to try; to doom.
JUDGE,v. t.,To arrogate judicial authority over; to sit in judgment upon; to be censorious toward.
JUDGE,v. t.,To determine upon or deliberation; to esteem; to think; to reckon.
JUDGE,v. t.,To exercise the functions of a magistrate over; to govern.
JUGAL,a.,"Relating to a yoke, or to marriage."
JUGAL,a.,"Pertaining to, or in the region of, the malar, or cheek bone."
JUGER,n.,"A Roman measure of land, measuring 28,800 square feet, or 240 feet in length by 120 in breadth."
JUGGS,n. pl.,See Jougs.
JUGUM,n.,One of the ridges commonly found on the fruit of umbelliferous plants.
JUGUM,n.,A pair of the opposite leaflets of a pinnate plant.
JUICE,n.,"The characteristic fluid of any vegetable or animal substance; the sap or part which can be expressed from fruit, etc.; the fluid part which separates from meat in cooking."
JUICE,v. t.,To moisten; to wet.
JUICY,superl.,A bounding with juice; succulent.
JUISE,n.,Judgment; justice; sentence.
JULEP,n.,A refreshing drink flavored with aromatic herbs
JULEP,n.,"a sweet, demulcent, acidulous, or mucilaginous mixture, used as a vehicle."
JULEP,n.,"A beverage composed of brandy, whisky, or some other spirituous liquor, with sugar, pounded ice, and sprigs of mint; -- called also mint julep."
JULUS,n.,A catkin or ament. See Ament.
JUNCO,n.,"Any bird of the genus Junco, which includes several species of North American finches; -- called also snowbird, or blue snowbird."
JUNOS,pl. ,of June
JUNTA,n.,"A council; a convention; a tribunal; an assembly; esp., the grand council of state in Spain."
JUNTO,n.,"A secret council to deliberate on affairs of government or politics; a number of men combined for party intrigue; a faction; a cabal; as, a junto of ministers; a junto of politicians."
JUPON,n.,Alt. of Juppon
JURAL,a.,Pertaining to natural or positive right.
JURAL,a.,Of or pertaining to jurisprudence.
JURAT,n.,"A person under oath; specifically, an officer of the nature of an alderman, in certain municipal corporations in England."
JURAT,n.,"The memorandum or certificate at the end of an asffidavit, or a bill or answer in chancery, showing when, before whom, and (in English practice), where, it was sworn or affirmed."
JUREL,n.,"A yellow carangoid fish of the Atlantic and Gulf coasts (Caranx chrysos), most abundant southward, where it is valued as a food fish; -- called also hardtail, horse crevalle, jack, buffalo jack, skipjack, yellow mackerel, and sometimes, improperly, horse mackerel. Other species of Caranx (as C. fallax) are also sometimes called jurel."
JUROR,n.,A member of a jury; a juryman.
JUROR,n.,"A member of any jury for awarding prizes, etc."
JUSSI,n.,"A delicate fiber, produced in the Philippine Islands from an unidentified plant, of which dresses, etc., are made."
JUTES,n. pl.,"Jutlanders; one of the Low German tribes, a portion of which settled in Kent, England, in the 5th century."
JUTTY,n.,"A projection in a building; also, a pier or mole; a jetty."
JUTTY,v. t. & i.,To project beyond.
JUVIA,n.,A Brazilian name for the lofty myrtaceous tree (Bertholetia excelsa) which produces the large seeds known as Brazil nuts.
KAAMA,n.,The hartbeest.
KABOB,n. & v. t.,"See Cabob, n. & v. t."
KAFAL,n.,"The Arabian name of two trees of the genus Balsamodendron, which yield a gum resin and a red aromatic wood."
KAFIR,n.,"One of a race which, with the Hottentots and Bushmen, inhabit South Africa. They inhabit the country north of Cape Colony, the name being now specifically applied to the tribes living between Cape Colony and Natal; but the Zulus of Natal are true Kaffirs."
KAFIR,n.,One of a race inhabiting Kafiristan in Central Asia.
KAHAU,n.,"A long-nosed monkey (Semnopithecus nasalis), native of Borneo. The general color of the body is bright chestnut, with the under parts, shoulders, and sides of the head, golden yellow, and the top of the head and upper part of the back brown. Called also proboscis monkey."
KALAN,n.,The sea otter.
KALIF,n.,See Caliph.
KALKI,n.,The name of Vishnu in his tenth and last avatar.
KALPA,n.,"One of the Brahmanic eons, a period of 4,320,000,000 years. At the end of each Kalpa the world is annihilated."
KAPIA,n.,The fossil resin of the kauri tree of New Zealand.
KARMA,n.,One's acts considered as fixing one's lot in the future existence. (Theos.) The doctrine of fate as the inflexible result of cause and effect; the theory of inevitable consequence.
KAROB,n.,The twenty-fourth part of a grain; -- a weight used by goldsmiths.
KAURI,n.,"A lofty coniferous tree of New Zealand Agathis, / Dammara, australis), furnishing valuable timber and yielding one kind of dammar resin."
KAYAK,n.,"A light canoe, made of skins stretched over a frame, and usually capable of carrying but one person, who sits amidships and uses a double-bladed paddle. It is peculiar to the Eskimos and other Arctic tribes."
KAYKO,n.,The dog salmon.
KECKY,a.,Resembling a kecksy.
KEDGE,n.,"To move (a vessel) by carrying out a kedge in a boat, dropping it overboard, and hauling the vessel up to it."
KEDGE,v. t.,"A small anchor used whenever a large one can be dispensed witch. See Kedge, v. t., and Anchor, n."
KEECH,n.,A mass or lump of fat rolled up by the butcher.
KEELS,n. pl.,Ninepins. See Kayles.
KEESH,n.,See Kish.
KEEVE,n.,A vat or tub in which the mash is made; a mash tub.
KEEVE,n.,A bleaching vat; a kier.
KEEVE,n.,A large vat used in dressing ores.
KEEVE,v. t.,"To set in a keeve, or tub, for fermentation."
KEEVE,v. t.,"To heave; to tilt, as a cart."
KELPY,n.,"An imaginary spirit of the waters, horselike in form, vulgarly believed to warn, by preternatural noises and lights, those who are to be drowned."
KEMPT,,of Kemb
KEMPE,a.,Rough; shaggy.
KEMPS,n. pl.,The long flower stems of the ribwort plantain (Plantago Lanceolata).
KEMPT,,p. p. of Kemb.
KERSE,n.,A cress.
KERVE,v. t.,To carve.
KESAR,n.,See Kaiser.
KETCH,n.,"An almost obsolete form of vessel, with a mainmast and a mizzenmast, -- usually from one hundred to two hundred and fifty tons burden."
KETCH,n.,A hangman. See Jack Ketch.
KETCH,v. t.,To catch.
KETOL,n.,"One of a series of series of complex nitrogenous substances, represented by methyl ketol and related to indol."
KEVEL,n.,A strong cleat to which large ropes are belayed.
KEVEL,n.,A stone mason's hammer.
KEVEL,n.,Alt. of Kevin
KEVIN,n.,The gazelle.
KEVER,v. t. &,i. To cover.
KEVED,imp. & p. p.,of Key
KEYED,a.,"Furnished with keys; as, a keyed instrument; also, set to a key, as a tune."
KHAYA,n.,"A lofty West African tree (Khaya Senegalensis), related to the mahogany, which it resembles in the quality of the wood. The bark is used as a febrifuge."
KIANG,n.,The dziggetai.
KIBED,a.,Chapped; cracked with cold; affected with chilblains; as kibed heels.
KIDDE,imp.,of Kythe.
KIDDY,v. t.,To deceive; to outwit; to hoax.
KIDDY,n.,"A young fellow; formerly, a low thief."
KIEVE,n.,"See Keeve, n."
KILOS,pl. ,of Kilo
KIMBO,a.,Crooked; arched; bent.
KIMRY,n.,See Cymry.
KINIC,a.,See Quinic.
KINKY,a.,"Full of kinks; liable to kink or curl; as, kinky hair."
KINKY,a.,Queer; eccentric; crotchety.
KIOSK,n.,"A Turkish open summer house or pavilion, supported by pillars."
KITTE,imp.,of Kit
KITHE,v. t.,See Kythe.
KITTE,imp.,of Kit to cut.
KIVER,v. t.,To cover.
KIVER,n.,A cover.
KLICK,n. & v.,See Click.
KLOOF,n.,A glen; a ravine closed at its upper end.
KNACK,v. i.,"To crack; to make a sharp, abrupt noise to chink."
KNACK,v. i.,To speak affectedly.
KNACK,n.,A petty contrivance; a toy; a plaything; a knickknack.
KNACK,n.,A readiness in performance; aptness at doing something; skill; facility; dexterity.
KNACK,n.,"Something performed, or to be done, requiring aptness and dexterity; a trick; a device."
KNARL,n.,A knot in wood. See Gnarl.
KNAVE,n.,"A boy; especially, a boy servant."
KNAVE,n.,Any male servant; a menial.
KNAVE,n.,"A tricky, deceitful fellow; a dishonest person; a rogue; a villain."
KNAVE,n.,A playing card marked with the figure of a servant or soldier; a jack.
KNEAD,v. t.,"To work and press into a mass, usually with the hands; esp., to work, as by repeated pressure with the knuckles, into a well mixed mass, as the materials of bread, cake, etc.; as, to knead dough."
KNEAD,v. t.,Fig.: To treat or form as by kneading; to beat.
KNECK,n.,"The twisting of a rope or cable, as it is running out."
KNEED,a.,"Having knees;- used chiefly in composition; as, in-kneed; out-kneed; weak-kneed."
KNEED,a.,"Geniculated; forming an obtuse angle at the joints, like the knee when a little bent; as, kneed grass."
KNELT,imp. & p. p.,of Kneel
KNEEL,v. i.,To bend the knee; to fall or rest on the knees; -- sometimes with down.
KNELL,n.,"The stoke of a bell tolled at a funeral or at the death of a person; a death signal; a passing bell; hence, figuratively, a warning of, or a sound indicating, the passing away of anything."
KNELL,n.,"To sound as a knell; especially, to toll at a death or funeral; hence, to sound as a warning or evil omen."
KNELL,v. t.,"To summon, as by a knell."
KNELT,imp. & p. p.,of Kneel.
KNIFE,n.,"An instrument consisting of a thin blade, usually of steel and having a sharp edge for cutting, fastened to a handle, but of many different forms and names for different uses; as, table knife, drawing knife, putty knife, pallet knife, pocketknife, penknife, chopping knife, etc.."
KNIFE,n.,A sword or dagger.
KNIFE,v. t.,To prune with the knife.
KNIFE,v. t.,To cut or stab with a knife.
KNITS,n. pl.,Small particles of ore.
KNOCK,v. i.,"To drive or be driven against something; to strike against something; to clash; as, one heavy body knocks against another."
KNOCK,v. i.,"To strike or beat with something hard or heavy; to rap; as, to knock with a club; to knock on the door."
KNOCK,v. t.,"To strike with something hard or heavy; to move by striking; to drive (a thing) against something; as, to knock a ball with a bat; to knock the head against a post; to knock a lamp off the table."
KNOCK,v. t.,"To strike for admittance; to rap upon, as a door."
KNOCK,n.,A blow; a stroke with something hard or heavy; a jar.
KNOCK,n.,"A stroke, as on a door for admittance; a rap."
KNOLL,n.,A little round hill; a mound; a small elevation of earth; the top or crown of a hill.
KNOLL,v. t.,"To ring, as a bell; to strike a knell upon; to toll; to proclaim, or summon, by ringing."
KNOLL,v. i.,"To sound, as a bell; to knell."
KNOLL,n.,The tolling of a bell; a knell.
KNOSP,n.,"Same as Knop,2."
KNOUT,n.,"A kind of whip for flogging criminals, formerly much used in Russia. The last is a tapering bundle of leather thongs twisted with wire and hardened, so that it mangles the flesh."
KNOUT,v. t.,To punish with the knout.
KNOWN,p. p.,of Know
KNOWN,p. p.,of Know.
KNUBS,n. pl.,Waste silk formed in winding off the threads from a cocoon.
KNUFF,n.,A lout; a clown.
KNURL,n.,A contorted knot in wood; a crossgrained protuberance; a nodule; a boss or projection.
KNURL,n.,"One who, or that which, is crossgrained."
KNURL,v. t.,"To provide with ridges, to assist the grasp, as in the edge of a flat knob, or coin; to mill."
KOALA,n.,"A tailless marsupial (Phascolarctos cinereus), found in Australia. The female carries her young on the back of her neck. Called also Australian bear, native bear, and native sloth."
KODAK,n.,A kind of portable camera.
KONZE,n.,"A large African antelope (Alcelaphus Lichtensteini), allied to the hartbeest, but having shorter and flatter horns, and lacking a black patch on the face."
KOORD,n.,See Kurd.
KORAN,n.,"The Scriptures of the Mohammedans, containing the professed revelations to Mohammed; -- called also Alcoran."
KORIN,n.,The gazelle.
KOTOW,n.,"The prostration made by mandarins and others to their superiors, either as homage or worship, by knocking the forehead on the ground. There are degrees in the rite, the highest being expressed by three knockings."
KOTOW,v. i.,To perform the kotow.
KRAAL,n.,"A collection of huts within a stockade; a village; sometimes, a single hut."
KRAAL,n.,An inclosure into which are driven wild elephants which are to be tamed and educated.
KRAIT,n.,"A very venomous snake of India (Bungarus coeruleus), allied to the cobra. Its upper parts are bluish or brownish black, often with narrow white streaks; the belly is whitish."
KRANG,n.,The carcass of a whale after the blubber has been removed.
KREEL,n.,See Creel.
KREMS,n.,"A variety of white lead. See Krems lead, under Lead, n."
KRENG,n.,See Krang.
KRONE,n.,"A coin of Denmark, Norway, and Sweden, of the value of about twenty-eight cents. See Crown, n., 9."
KUDOS,n.,Glory; fame; renown; praise.
KUDOS,v. t.,To praise; to extol; to glorify.
KUFIC,a.,See Cufic.
KULAN,n.,See Koulan.
KUTCH,n.,The packet of vellum leaves in which the gold is first beaten into thin sheets.
KUTCH,n.,See Catechu.
KYDDE,,"imp. of Kythe, to show."
KYLEY,n.,A variety of the boomerang.
KYMRY,n.,See Cymry.
KYRIE,n.,See Kyrie eleison.
KYDDE,imp.,of Kithe
KIDDE,,of Kithe
KYTHE,v. t.,Alt. of Kithe
KITHE,v. t.,To make known; to manifest; to show; to declare.
KYTHE,v. t.,To come into view; to appear.
LABEL,n.,A tassel.
LABEL,n.,"A slip of silk, paper, parchment, etc., affixed to anything, usually by an inscription, the contents, ownership, destination, etc.; as, the label of a bottle or a package."
LABEL,n.,"A slip of ribbon, parchment, etc., attached to a document to hold the appended seal; also, the seal."
LABEL,n.,"A writing annexed by way of addition, as a codicil added to a will."
LABEL,n.,"A barrulet, or, rarely, a bendlet, with pendants, or points, usually three, especially used as a mark of cadency to distinguish an eldest or only son while his father is still living."
LABEL,n.,"A brass rule with sights, formerly used, in connection with a circumferentor, to take altitudes."
LABEL,n.,"The name now generally given to the projecting molding by the sides, and over the tops, of openings in mediaeval architecture. It always has a /quare form, as in the illustration."
LABEL,n.,"In mediaeval art, the representation of a band or scroll containing an inscription."
LABEL,v. t.,"To affix a label to; to mark with a name, etc.; as, to label a bottle or a package."
LABEL,v. t.,To affix in or on a label.
LABIA,n. pl.,See Labium.
LABIA,pl. ,of Labium
LABOR,n.,"Physical toil or bodily exertion, especially when fatiguing, irksome, or unavoidable, in distinction from sportive exercise; hard, muscular effort directed to some useful end, as agriculture, manufactures, and like; servile toil; exertion; work."
LABOR,n.,"Intellectual exertion; mental effort; as, the labor of compiling a history."
LABOR,n.,That which requires hard work for its accomplishment; that which demands effort.
LABOR,n.,Travail; the pangs and efforts of childbirth.
LABOR,n.,Any pang or distress.
LABOR,n.,The pitching or tossing of a vessel which results in the straining of timbers and rigging.
LABOR,n.,"A measure of land in Mexico and Texas, equivalent to an area of 177/ acres."
LABOR,n.,"To exert muscular strength; to exert one's strength with painful effort, particularly in servile occupations; to work; to toil."
LABOR,n.,To exert one's powers of mind in the prosecution of any design; to strive; to take pains.
LABOR,n.,"To be oppressed with difficulties or disease; to do one's work under conditions which make it especially hard, wearisome; to move slowly, as against opposition, or under a burden; to be burdened; -- often with under, and formerly with of."
LABOR,n.,To be in travail; to suffer the pangs of childbirth.
LABOR,n.,"To pitch or roll heavily, as a ship in a turbulent sea."
LABOR,v. t.,To work at; to work; to till; to cultivate by toil.
LABOR,v. t.,"To form or fabricate with toil, exertion, or care."
LABOR,v. t.,"To prosecute, or perfect, with effort; to urge stre/uously; as, to labor a point or argument."
